Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	16.0	10.198039	30.0	0.0	606.6	-0.13048433	0.03548432	-0.02899354	-0.18365782	4000	0.057086132	23.452755	0.0	-5.542527	2.8822625	0.81468266	0.57449996	0.0	10.479129076004028
1	22.5	4.3301272	30.0	20.0	706.75	2.2255137	2.3841858e-07	2.2255135	2.2255135	8000	0.09424234	12.114893	0.0	-0.5255439	2.882057	0.5720252	0.40250003	0.0	20.85723114013672
2	15.0	11.18034	30.0	0.0	924.0	2.9516795	4.7683716e-07	2.95168	2.95168	12000	0.07104597	8.479797	0.0	-1.1859385	2.882335	1.0038941	0.71175003	0.0	31.45140814781189
3	7.5	8.291562	20.0	0.0	850.5	1.865953	1.1920929e-07	1.8659528	1.8659528	16000	0.085286885	4.8846183	0.0	-1.0619538	2.8822834	0.9034235	0.6395	0.0	42.037331104278564
4	17.5	8.291562	30.0	10.0	665.5	0.8228257	5.9604645e-08	0.82282573	0.82282573	20000	0.077320114	8.094192	0.0	-0.1583342	2.882291	0.7878622	0.55825	0.0	52.699629068374634
5	26.0	12.0	40.0	10.0	743.0	1.2248574	1.1920929e-07	1.2248573	1.2248573	24000	0.050800208	18.292112	0.0	-3.3836117	2.8822618	0.7777339	0.551	0.0	63.27401924133301
6	7.5	8.291562	20.0	0.0	887.5	3.0467696	0.0	3.0467696	3.0467696	28000	0.065033	9.078167	0.0	-3.7645285	2.8823447	1.0290453	0.7335	0.0	73.88217496871948
7	22.5	4.3301272	30.0	20.0	685.0	1.1060447	1.1920929e-07	1.1060448	1.1060448	32000	0.09102458	13.675037	0.0	-2.380814	2.882284	0.8272742	0.58475	0.0	84.518972158432
