Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
30	22.5	4.3301272	30.0	20.0	565.25	1.193635	0.0	1.193635	1.193635	124000	0.07480986	10.363918	0.0	-0.66119075	2.8821168	0.6606586	0.46625	0.0	343.4766399860382
31	17.5	4.3301272	20.0	10.0	719.75	1.9974523	3.5762787e-07	1.9974526	1.9974526	128000	0.09071909	8.209263	0.0	-0.0013135672	2.8823073	0.9563254	0.68125	0.0	354.17336678504944
32	52.5	23.84848	80.0	20.0	689.5	1.9616256	2.3841858e-07	1.9616253	1.9616253	132000	0.034754515	71.759094	0.0	-20.578327	2.8820353	0.37946188	0.26725	0.0	364.9255418777466
33	17.5	8.291562	30.0	10.0	679.75	6.5357966	0.0	6.5357966	6.5357966	136000	0.0969176	26.164103	0.0	-18.070927	2.8822694	0.82751274	0.5855	0.0	375.8800117969513
34	20.0	10.954452	40.0	10.0	604.2	2.3070836	2.3841858e-07	2.3070838	2.3070838	140000	0.11071728	17.417725	0.0	-0.16609335	2.8819666	0.37561864	0.26725	0.0	386.9543619155884
35	17.5	4.3301272	20.0	10.0	782.0	2.7124062	7.1525574e-07	2.7124069	2.7124069	144000	0.0834375	8.480668	0.0	-0.458683	2.8824139	1.0081235	0.71599996	0.0	397.99090003967285
36	18.333334	6.871843	30.0	10.0	566.1667	2.0366578	2.3841858e-07	2.036658	2.036658	148000	0.08558428	13.235411	0.0	-0.017144918	2.882217	0.6825161	0.482	0.0	408.94602608680725
37	22.5	8.291562	30.0	10.0	722.5	2.1676562	2.3841858e-07	2.1676564	2.1676564	152000	0.07787907	9.446497	0.0	-0.18422306	2.882155	0.7148917	0.50374997	0.0	419.91032886505127
38	15.0	11.18034	30.0	0.0	822.25	2.5990567	2.3841858e-07	2.599057	2.599057	156000	0.080363296	8.306284	0.0	-0.87930334	2.8822403	0.8158505	0.58125	0.0	430.8174798488617
39	12.5	12.990381	30.0	0.0	854.25	1.6547471	3.5762787e-07	1.6547475	1.6547475	160000	0.043044113	7.8623767	0.0	-0.008517742	2.882361	0.9617597	0.68375003	0.0	441.719703912735
40	15.0	7.637626	20.0	0.0	525.8333	1.5614284	2.3841858e-07	1.5614287	1.5614287	164000	0.06425345	7.207797	0.0	-0.14012772	2.8821695	0.7010474	0.49175	0.0	452.70244002342224
41	5.0	5.0	10.0	0.0	861.0	1.1823223	1.1920929e-07	1.1823224	1.1823224	168000	0.08823499	2.610837	0.0	-0.3854434	2.8824906	1.2195866	0.8605	0.0	463.3527879714966
42	17.5	14.790199	40.0	0.0	603.75	0.55257267	0.0	0.55257267	0.55257267	172000	0.05514721	16.85562	0.0	-0.7699481	2.8822877	0.87168074	0.6185	0.0	474.21485686302185
43	7.5	4.3301272	10.0	0.0	843.0	1.4433148	0.0	1.4433148	1.4433148	176000	0.11082324	3.7867157	0.0	-0.39367867	2.8824222	1.0810958	0.76675	0.0	485.1238570213318
44	12.0	9.797959	20.0	0.0	760.8	0.8059467	1.1920929e-07	0.8059468	0.8059468	180000	0.06470251	6.312772	0.0	-0.34286356	2.8823638	1.0011299	0.7085	0.0	496.0491478443146
45	18.0	7.483315	30.0	10.0	707.8	1.400828	0.0	1.400828	1.400828	184000	0.09055469	12.686612	0.0	-0.85100067	2.88233	0.8668684	0.6105	0.0	506.9555630683899
46	28.0	11.661903	40.0	10.0	621.6	2.337876	2.3841858e-07	2.3378763	2.3378763	188000	0.0560544	25.142227	0.0	-0.6020776	2.8822374	0.7487864	0.53325	0.0	517.6802351474762
47	15.0	11.18034	30.0	0.0	640.0	3.1257107	2.3841858e-07	3.125711	3.125711	192000	0.061603058	11.730093	0.0	-2.843914	2.8823533	0.9955871	0.702	0.0	528.837281703949
48	24.0	10.198039	40.0	10.0	605.0	1.4128176	0.0	1.4128176	1.4128176	196000	0.08222686	14.173361	0.0	-2.098691	2.882181	0.63439715	0.45075	0.0	539.9774458408356
49	10.0	10.0	20.0	0.0	733.25	2.8833516	4.7683716e-07	2.883352	2.883352	200000	0.045918852	17.131195	0.0	-0.49555087	2.8822713	0.91734946	0.65075004	0.0	551.0961217880249
50	38.0	19.39072	60.0	10.0	578.0	2.1683507	2.3841858e-07	2.1683505	2.1683505	204000	0.030084882	26.50395	0.0	-3.5943499	2.8821673	0.60992503	0.43175	0.0	562.0832719802856
51	17.5	8.291562	30.0	10.0	616.0	4.0910907	4.7683716e-07	4.09109	4.09109	208000	0.08249013	12.960794	0.0	-3.8707159	2.8822703	0.818576	0.5825	0.0	573.0696768760681
52	15.0	15.0	30.0	0.0	830.0	2.0967176	0.0	2.0967176	2.0967176	212000	0.046134662	9.539856	0.0	-0.099871516	2.8823938	1.0187457	0.71949995	0.0	584.2037110328674
53	20.0	12.247449	40.0	10.0	869.0	1.7757834	3.5762787e-07	1.7757831	1.7757831	216000	0.07787621	16.919735	0.0	-1.0140171	2.8822412	0.77828175	0.554	0.0	595.1428849697113
54	20.0	8.944272	30.0	10.0	634.4	2.7986643	0.0	2.7986643	2.7986643	220000	0.08373062	11.637323	0.0	-0.13037479	2.8822064	0.7297344	0.51524997	0.0	605.9214217662811
55	25.0	11.18034	40.0	10.0	782.0	2.431851	4.7683716e-07	2.4318514	2.4318514	224000	0.044325665	11.931778	0.0	-0.06250095	2.8823137	0.90701556	0.64575	0.0	616.5510239601135
56	24.0	8.0	40.0	20.0	516.4	2.685632	0.0	2.685632	2.685632	228000	0.078767605	15.823587	0.0	-0.33483684	2.8821921	0.57486165	0.407	0.0	627.4098858833313
57	20.0	7.071068	30.0	10.0	484.0	3.2723906	2.3841858e-07	3.2723904	3.2723904	232000	0.06375809	18.100819	0.0	-0.1867795	2.8820386	0.5389111	0.38300002	0.0	638.4202687740326
58	14.0	10.198039	30.0	0.0	644.2	2.835125	0.0	2.835125	2.835125	236000	0.08795981	10.0812645	0.0	-0.67323786	2.8821614	0.75996685	0.541	0.0	649.1998679637909
59	10.0	10.0	20.0	0.0	789.25	2.005869	0.0	2.005869	2.005869	240000	0.047729306	7.648328	0.0	-0.39540392	2.8824177	1.0686259	0.76049995	0.0	660.3148159980774
60	17.5	4.3301272	20.0	10.0	573.75	1.3715852	0.0	1.3715852	1.3715852	244000	0.0629448	28.866505	0.0	-6.741278	2.88214	0.51543796	0.36474997	0.0	671.4197669029236
61	10.0	6.3245554	20.0	0.0	672.8	4.0050783	4.7683716e-07	4.005079	4.005079	248000	0.11391285	14.454107	0.0	-4.904299	2.882289	0.8826286	0.628	0.0	682.1579129695892
62	15.0	8.6602545	20.0	0.0	592.25	1.7584289	2.3841858e-07	1.7584292	1.7584292	252000	0.0640313	7.1931033	0.0	-0.0007098913	2.88237	0.8987607	0.6365	0.0	692.9587118625641
63	10.0	5.7735023	20.0	0.0	639.6667	1.7854882	0.0	1.7854882	1.7854882	256000	0.11887965	7.979789	0.0	-0.08368254	2.882329	0.8166694	0.5805	0.0	703.7813949584961
64	22.0	4.0	30.0	20.0	479.2	1.4915855	0.0	1.4915855	1.4915855	260000	0.08143117	13.780063	0.0	-1.9209142	2.8820255	0.48396713	0.34375	0.0	714.3127570152283
65	28.333334	16.749792	60.0	10.0	527.8333	2.8993802	0.0	2.8993802	2.8993802	264000	0.052624825	31.983484	0.0	-0.8689219	2.882255	0.6671621	0.474	0.0	724.9490990638733
